Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10001,2024-11-23,Electronics,iPhone 14 Pro,3,999.99,2999.97,Europe,Debit Card
10002,2024-03-12,Electronics,iPad Pro 11,1,799.99,799.99,Australia,PayPal
10003,2024-01-17,Electronics,iPhone 14 Pro,2,999.99,1999.98,Europe,Apple Pay
10004,2024-11-04,Electronics,iPad Pro 11,2,799.99,1599.98,Australia,PayPal
10005,2024-04-22,Books,Python Crash Course,3,34.99,104.97,North America,Debit Card
10006,2024-12-23,Books,Deep Work,3,29.99,89.97,Europe,Debit Card
10007,2024-06-21,Electronics,iPhone 14 Pro,4,999.99,3999.96,North America,Cash
10008,2024-06-25,Clothing,Levi's 501 Jeans,4,79.99,319.96,Australia,Credit Card
10009,2024-07-12,Electronics,iPad Pro 11,3,799.99,2399.97,Australia,Cash
10010,2024-10-22,Home Appliances,Dyson V11 Vacuum Cleaner,1,599.99,599.99,Europe,Cash
10011,2024-02-10,Home Appliances,Dyson V11 Vacuum Cleaner,4,599.99,2399.96,Asia,PayPal
10012,2024-11-21,Clothing,Nike Air Force 1 Sneakers,3,109.99,329.97,Asia,Debit Card
10013,2024-12-09,Clothing,Levi's 501 Jeans,5,79.99,399.95,Europe,Apple Pay
10014,2024-05-05,Home Appliances,Philips Air Fryer,4,199.99,799.96,Asia,Apple Pay
10015,2024-04-22,Clothing,Levi's 501 Jeans,2,79.99,159.98,North America,Cash
10016,2024-07-24,Clothing,Levi's 501 Jeans,2,79.99,159.98,Australia,Cash
10017,2024-04-18,Books,The Pragmatic Programmer,4,44.99,179.96,Europe,Cash
10018,2024-03-12,Home Appliances,Bosch Washing Machine,5,899.99,4499.95,Asia,Apple Pay
10019,2024-08-07,Books,Deep Work,2,29.99,59.98,Europe,Apple Pay
10020,2024-09-09,Electronics,iPhone 14 Pro,1,999.99,999.99,Europe,Debit Card
10021,2024-12-14,Books,Python Crash Course,1,34.99,34.99,South America,PayPal
10022,2024-11-01,Books,Python Crash Course,3,34.99,104.97,Australia,Credit Card
10023,2024-12-14,Electronics,iPad Pro 11,3,799.99,2399.97,Asia,Credit Card
10024,2024-05-30,Books,Clean Code,4,39.99,159.96,North America,Cash
10025,2024-09-13,Home Appliances,Bosch Washing Machine,1,899.99,899.99,Asia,Apple Pay
10026,2024-11-07,Home Appliances,LG Smart Refrigerator,3,1499.99,4499.97,Europe,Apple Pay
10027,2024-09-28,Electronics,iPad Pro 11,3,799.99,2399.97,South America,Credit Card
10028,2024-02-27,Clothing,Adidas Hoodie,2,69.99,139.98,North America,Debit Card
10029,2024-10-17,Electronics,iPhone 14 Pro,4,999.99,3999.96,North America,Apple Pay
10030,2024-03-05,Home Appliances,Philips Air Fryer,5,199.99,999.95,Europe,Cash
10031,2024-09-27,Books,Clean Code,5,39.99,199.95,Europe,Cash
10032,2024-07-23,Clothing,Uniqlo Cotton T-Shirt,5,19.99,99.95,South America,Credit Card
10033,2024-05-06,Home Appliances,Dyson V11 Vacuum Cleaner,3,599.99,1799.97,North America,Apple Pay
10034,2024-10-10,Home Appliances,Bosch Washing Machine,2,899.99,1799.98,North America,Credit Card
10035,2024-12-28,Electronics,Samsung Galaxy S23,1,899.99,899.99,North America,Cash
10036,2024-02-06,Home Appliances,Samsung Microwave Oven,4,249.99,999.96,Europe,Apple Pay
10037,2024-03-08,Books,Clean Code,4,39.99,159.96,South America,Debit Card
10038,2024-02-18,Electronics,Sony WH-1000XM5 Headphones,3,399.99,1199.97,South America,PayPal
10039,2024-08-27,Electronics,iPhone 14 Pro,1,999.99,999.99,South America,Cash
10040,2024-02-25,Home Appliances,LG Smart Refrigerator,2,1499.99,2999.98,Australia,PayPal
10041,2024-03-12,Books,Clean Code,3,39.99,119.97,South America,Debit Card
10042,2024-02-08,Books,Python Crash Course,1,34.99,34.99,North America,Apple Pay
10043,2024-01-08,Electronics,Samsung Galaxy S23,2,899.99,1799.98,South America,PayPal
10044,2024-09-03,Home Appliances,Philips Air Fryer,1,199.99,199.99,Europe,PayPal
10045,2024-01-02,Books,Deep Work,4,29.99,119.96,Asia,PayPal
10046,2024-12-22,Books,Clean Code,2,39.99,79.98,Asia,Debit Card
10047,2024-01-30,Electronics,MacBook Air M2,1,1199.99,1199.99,North America,Apple Pay
10048,2024-09-01,Home Appliances,Dyson V11 Vacuum Cleaner,5,599.99,2999.95,North America,Debit Card
10049,2024-02-05,Electronics,Samsung Galaxy S23,4,899.99,3599.96,North America,Apple Pay
10050,2024-05-06,Electronics,iPad Pro 11,1,799.99,799.99,South America,Apple Pay
10051,2024-10-16,Clothing,Adidas Hoodie,2,69.99,139.98,Asia,Debit Card
10052,2024-05-15,Books,Clean Code,3,39.99,119.97,South America,Cash
10053,2024-02-07,Electronics,Sony WH-1000XM5 Headphones,5,399.99,1999.95,Australia,Credit Card
10054,2024-02-07,Home Appliances,Bosch Washing Machine,3,899.99,2699.97,Europe,Cash
10055,2024-02-05,Home Appliances,Samsung Microwave Oven,3,249.99,749.97,Europe,PayPal
10056,2024-10-05,Clothing,North Face Jacket,5,249.99,1249.95,North America,Apple Pay
10057,2024-06-02,Electronics,Samsung Galaxy S23,3,899.99,2699.97,North America,Credit Card
10058,2024-10-10,Home Appliances,Samsung Microwave Oven,3,249.99,749.97,Australia,Debit Card
10059,2024-06-24,Home Appliances,Samsung Microwave Oven,5,249.99,1249.95,South America,Cash
10060,2024-01-27,Electronics,Sony WH-1000XM5 Headphones,3,399.99,1199.97,North America,Credit Card
10061,2024-06-19,Home Appliances,Samsung Microwave Oven,2,249.99,499.98,South America,Apple Pay
10062,2024-12-27,Books,Python Crash Course,1,34.99,34.99,North America,Credit Card
10063,2024-12-19,Home Appliances,Bosch Washing Machine,1,899.99,899.99,Asia,Apple Pay
10064,2024-10-09,Home Appliances,Philips Air Fryer,2,199.99,399.98,North America,Cash
10065,2024-07-05,Electronics,MacBook Air M2,2,1199.99,2399.98,Europe,Credit Card
10066,2024-06-30,Books,Python Crash Course,2,34.99,69.98,Europe,Debit Card
10067,2024-03-31,Books,Atomic Habits,2,24.99,49.98,Asia,PayPal
10068,2024-12-08,Home Appliances,Samsung Microwave Oven,2,249.99,499.98,North America,PayPal
10069,2024-01-20,Books,Clean Code,2,39.99,79.98,South America,Cash
10070,2024-06-05,Home Appliances,LG Smart Refrigerator,1,1499.99,1499.99,Europe,PayPal
10071,2024-06-17,Clothing,Levi's 501 Jeans,3,79.99,239.97,Asia,Apple Pay
10072,2024-07-23,Clothing,Levi's 501 Jeans,1,79.99,79.99,Asia,Debit Card
10073,2024-10-24,Clothing,Levi's 501 Jeans,1,79.99,79.99,Australia,PayPal
10074,2024-06-25,Clothing,Uniqlo Cotton T-Shirt,5,19.99,99.95,Australia,Credit Card
10075,2024-07-16,Home Appliances,Samsung Microwave Oven,1,249.99,249.99,South America,Credit Card
10076,2024-09-23,Home Appliances,Samsung Microwave Oven,4,249.99,999.96,North America,Cash
10077,2024-11-15,Clothing,Levi's 501 Jeans,3,79.99,239.97,Australia,Cash
10078,2024-12-07,Books,Deep Work,4,29.99,119.96,Asia,Apple Pay
10079,2024-03-06,Home Appliances,Philips Air Fryer,4,199.99,799.96,Europe,Apple Pay
10080,2024-10-18,Clothing,Uniqlo Cotton T-Shirt,5,19.99,99.95,North America,Cash
10081,2024-05-26,Home Appliances,Philips Air Fryer,5,199.99,999.95,Australia,Cash
10082,2024-08-26,Books,The Pragmatic Programmer,2,44.99,89.98,Australia,PayPal
10083,2024-03-27,Electronics,MacBook Air M2,5,1199.99,5999.95,Australia,Cash
10084,2024-02-17,Home Appliances,Samsung Microwave Oven,2,249.99,499.98,Europe,Debit Card
10085,2024-01-13,Electronics,Samsung Galaxy S23,4,899.99,3599.96,Australia,Credit Card
10086,2024-08-21,Books,Python Crash Course,2,34.99,69.98,South America,PayPal
10087,2024-07-23,Home Appliances,LG Smart Refrigerator,1,1499.99,1499.99,North America,PayPal
10088,2024-04-22,Home Appliances,Bosch Washing Machine,4,899.99,3599.96,North America,Apple Pay
10089,2024-05-07,Electronics,Sony WH-1000XM5 Headphones,2,399.99,799.98,South America,Apple Pay
10090,2024-10-13,Clothing,Uniqlo Cotton T-Shirt,5,19.99,99.95,Australia,PayPal
10091,2024-10-07,Books,Clean Code,4,39.99,159.96,South America,Cash
10092,2024-05-06,Clothing,North Face Jacket,4,249.99,999.96,Europe,Cash
10093,2024-08-13,Electronics,MacBook Air M2,2,1199.99,2399.98,Asia,Cash
10094,2024-06-12,Electronics,Samsung Galaxy S23,2,899.99,1799.98,Europe,PayPal
10095,2024-12-21,Home Appliances,LG Smart Refrigerator,1,1499.99,1499.99,South America,PayPal
10096,2024-06-18,Books,The Pragmatic Programmer,1,44.99,44.99,Europe,PayPal
10097,2024-07-18,Electronics,iPad Pro 11,4,799.99,3199.96,South America,Credit Card
10098,2024-06-29,Clothing,Uniqlo Cotton T-Shirt,4,19.99,79.96,Australia,Apple Pay
10099,2024-11-04,Home Appliances,Philips Air Fryer,2,199.99,399.98,Asia,PayPal
10100,2024-09-05,Electronics,Sony WH-1000XM5 Headphones,3,399.99,1199.97,South America,Debit Card
10101,2024-08-27,Home Appliances,Bosch Washing Machine,5,899.99,4499.95,North America,PayPal
10102,2024-10-30,Electronics,iPhone 14 Pro,4,999.99,3999.96,Europe,PayPal
10103,2024-04-03,Electronics,MacBook Air M2,4,1199.99,4799.96,Asia,Debit Card
10104,2024-08-20,Clothing,Adidas Hoodie,4,69.99,279.96,Asia,PayPal
10105,2024-05-09,Electronics,Sony WH-1000XM5 Headphones,1,399.99,399.99,Australia,Credit Card
10106,2024-06-28,Home Appliances,Dyson V11 Vacuum Cleaner,1,599.99,599.99,North America,Debit Card
10107,2024-04-12,Electronics,iPad Pro 11,2,799.99,1599.98,Europe,Debit Card
10108,2024-08-30,Electronics,iPad Pro 11,2,799.99,1599.98,South America,Cash
10109,2024-07-07,Home Appliances,Bosch Washing Machine,5,899.99,4499.95,North America,Debit Card
10110,2024-06-08,Electronics,iPad Pro 11,1,799.99,799.99,Asia,Apple Pay
10111,2024-12-12,Books,The Pragmatic Programmer,2,44.99,89.98,North America,Apple Pay
10112,2024-12-19,Home Appliances,Dyson V11 Vacuum Cleaner,3,599.99,1799.97,Australia,Credit Card
10113,2024-10-16,Electronics,MacBook Air M2,5,1199.99,5999.95,South America,Cash
10114,2024-02-05,Clothing,Levi's 501 Jeans,4,79.99,319.96,South America,Credit Card
10115,2024-08-09,Clothing,Uniqlo Cotton T-Shirt,2,19.99,39.98,South America,Debit Card
10116,2024-09-24,Clothing,North Face Jacket,5,249.99,1249.95,South America,PayPal
10117,2024-08-11,Clothing,Adidas Hoodie,2,69.99,139.98,North America,Cash
10118,2024-08-18,Home Appliances,Philips Air Fryer,5,199.99,999.95,Australia,PayPal
10119,2024-06-21,Electronics,Sony WH-1000XM5 Headphones,3,399.99,1199.97,Europe,PayPal
10120,2024-04-18,Clothing,Adidas Hoodie,3,69.99,209.97,Asia,Apple Pay
10121,2024-12-25,Clothing,North Face Jacket,1,249.99,249.99,Australia,Debit Card
10122,2024-02-13,Home Appliances,Philips Air Fryer,4,199.99,799.96,Australia,Debit Card
10123,2024-12-19,Books,The Pragmatic Programmer,4,44.99,179.96,North America,Credit Card
10124,2024-05-30,Home Appliances,Philips Air Fryer,2,199.99,399.98,Asia,Apple Pay
10125,2024-07-07,Books,Python Crash Course,5,34.99,174.95,Asia,PayPal
10126,2024-10-08,Clothing,Adidas Hoodie,4,69.99,279.96,Asia,Cash
10127,2024-05-08,Home Appliances,Dyson V11 Vacuum Cleaner,2,599.99,1199.98,Asia,Credit Card
10128,2024-10-01,Home Appliances,LG Smart Refrigerator,2,1499.99,2999.98,South America,Cash
10129,2024-10-28,Clothing,Levi's 501 Jeans,2,79.99,159.98,Asia,Debit Card
10130,2024-07-03,Home Appliances,Samsung Microwave Oven,1,249.99,249.99,Australia,Debit Card
10131,2024-05-20,Electronics,iPhone 14 Pro,5,999.99,4999.95,Asia,Debit Card
10132,2024-11-22,Books,Atomic Habits,1,24.99,24.99,Australia,Cash
10133,2024-08-28,Books,The Pragmatic Programmer,3,44.99,134.97,Europe,Credit Card
10134,2024-05-09,Books,Atomic Habits,1,24.99,24.99,South America,PayPal
10135,2024-02-07,Electronics,Samsung Galaxy S23,2,899.99,1799.98,Australia,Cash
10136,2024-02-13,Home Appliances,Dyson V11 Vacuum Cleaner,5,599.99,2999.95,South America,Apple Pay
10137,2024-11-01,Home Appliances,Bosch Washing Machine,4,899.99,3599.96,South America,PayPal
10138,2024-06-01,Books,Deep Work,5,29.99,149.95,Australia,Credit Card
10139,2024-11-08,Electronics,Samsung Galaxy S23,2,899.99,1799.98,Asia,Credit Card
10140,2024-03-21,Home Appliances,LG Smart Refrigerator,5,1499.99,7499.95,North America,Debit Card
10141,2024-01-02,Books,The Pragmatic Programmer,5,44.99,224.95,South America,Cash
10142,2024-01-17,Home Appliances,Samsung Microwave Oven,3,249.99,749.97,South America,Credit Card
10143,2024-12-17,Home Appliances,Samsung Microwave Oven,5,249.99,1249.95,Europe,PayPal
10144,2024-02-28,Home Appliances,LG Smart Refrigerator,3,1499.99,4499.97,Europe,Credit Card
10145,2024-01-31,Home Appliances,Samsung Microwave Oven,5,249.99,1249.95,Australia,Cash
10146,2024-08-12,Electronics,Sony WH-1000XM5 Headphones,3,399.99,1199.97,South America,Cash
10147,2024-09-13,Books,The Pragmatic Programmer,1,44.99,44.99,Australia,Credit Card
10148,2024-08-09,Clothing,North Face Jacket,3,249.99,749.97,North America,Credit Card
10149,2024-04-27,Electronics,MacBook Air M2,5,1199.99,5999.95,North America,Debit Card
10150,2024-08-28,Books,Deep Work,2,29.99,59.98,Australia,PayPal
10151,2024-11-21,Books,Atomic Habits,4,24.99,99.96,Asia,PayPal
10152,2024-06-19,Clothing,Levi's 501 Jeans,2,79.99,159.98,Asia,PayPal
10153,2024-12-21,Books,Deep Work,4,29.99,119.96,Australia,Credit Card
10154,2024-08-20,Electronics,MacBook Air M2,3,1199.99,3599.97,Asia,Credit Card
10155,2024-07-25,Electronics,iPad Pro 11,4,799.99,3199.96,South America,Credit Card
10156,2024-04-06,Clothing,North Face Jacket,4,249.99,999.96,South America,Credit Card
10157,2024-04-14,Clothing,North Face Jacket,2,249.99,499.98,Asia,PayPal
10158,2024-12-23,Books,Atomic Habits,1,24.99,24.99,Australia,Debit Card
10159,2024-12-29,Home Appliances,Samsung Microwave Oven,5,249.99,1249.95,North America,Apple Pay
10160,2024-07-27,Electronics,Samsung Galaxy S23,1,899.99,899.99,South America,Credit Card
10161,2024-11-27,Home Appliances,Philips Air Fryer,3,199.99,599.97,Australia,Cash
10162,2024-07-31,Books,The Pragmatic Programmer,2,44.99,89.98,South America,Apple Pay
10163,2024-03-15,Books,Clean Code,5,39.99,199.95,Australia,Debit Card
10164,2024-02-05,Clothing,Uniqlo Cotton T-Shirt,3,19.99,59.97,Australia,Cash
10165,2024-01-02,Clothing,Adidas Hoodie,5,69.99,349.95,Australia,PayPal
10166,2024-03-17,Books,Python Crash Course,4,34.99,139.96,Asia,Cash
10167,2024-10-09,Books,The Pragmatic Programmer,3,44.99,134.97,Europe,Debit Card
10168,2024-10-19,Books,Clean Code,4,39.99,159.96,North America,Cash
10169,2024-08-30,Books,The Pragmatic Programmer,2,44.99,89.98,South America,Credit Card
10170,2024-03-05,Clothing,Levi's 501 Jeans,4,79.99,319.96,North America,Apple Pay
10171,2024-08-21,Electronics,Samsung Galaxy S23,4,899.99,3599.96,Europe,Credit Card
10172,2024-08-28,Clothing,Adidas Hoodie,5,69.99,349.95,South America,Credit Card
10173,2024-06-17,Books,Deep Work,4,29.99,119.96,Australia,Credit Card
10174,2024-11-12,Electronics,Samsung Galaxy S23,3,899.99,2699.97,Europe,Credit Card
10175,2024-08-10,Electronics,iPhone 14 Pro,4,999.99,3999.96,Europe,Cash
10176,2024-01-15,Electronics,MacBook Air M2,1,1199.99,1199.99,Asia,Cash
10177,2024-07-10,Books,Clean Code,2,39.99,79.98,Australia,PayPal
10178,2024-10-16,Home Appliances,LG Smart Refrigerator,2,1499.99,2999.98,North America,Apple Pay
10179,2024-07-14,Home Appliances,Philips Air Fryer,5,199.99,999.95,Europe,Debit Card
10180,2024-08-24,Clothing,Uniqlo Cotton T-Shirt,3,19.99,59.97,North America,PayPal
10181,2024-05-27,Home Appliances,Dyson V11 Vacuum Cleaner,4,599.99,2399.96,Asia,Apple Pay
10182,2024-06-02,Books,Deep Work,4,29.99,119.96,Asia,Debit Card
10183,2024-07-15,Books,Atomic Habits,2,24.99,49.98,South America,Apple Pay
10184,2024-07-02,Clothing,Adidas Hoodie,1,69.99,69.99,South America,Cash
10185,2024-01-05,Electronics,iPad Pro 11,4,799.99,3199.96,Asia,Debit Card
10186,2024-11-06,Clothing,Nike Air Force 1 Sneakers,2,109.99,219.98,Australia,Cash
10187,2024-12-13,Home Appliances,Dyson V11 Vacuum Cleaner,1,599.99,599.99,Asia,PayPal
10188,2024-01-18,Clothing,Nike Air Force 1 Sneakers,1,109.99,109.99,Asia,Cash
10189,2024-07-31,Home Appliances,LG Smart Refrigerator,2,1499.99,2999.98,Australia,Cash
10190,2024-09-28,Clothing,Nike Air Force 1 Sneakers,3,109.99,329.97,South America,Cash
10191,2024-06-22,Electronics,Sony WH-1000XM5 Headphones,1,399.99,399.99,Europe,Debit Card
10192,2024-12-12,Books,Python Crash Course,3,34.99,104.97,North America,PayPal
10193,2024-01-08,Clothing,North Face Jacket,1,249.99,249.99,South America,Cash
10194,2024-12-10,Clothing,North Face Jacket,4,249.99,999.96,Asia,Credit Card
10195,2024-12-11,Home Appliances,Philips Air Fryer,1,199.99,199.99,Australia,Apple Pay
10196,2024-06-16,Home Appliances,Dyson V11 Vacuum Cleaner,4,599.99,2399.96,Asia,PayPal
10197,2024-02-29,Home Appliances,Dyson V11 Vacuum Cleaner,1,599.99,599.99,Asia,PayPal
10198,2024-02-29,Electronics,Samsung Galaxy S23,5,899.99,4499.95,Europe,PayPal
10199,2024-08-20,Clothing,North Face Jacket,4,249.99,999.96,Australia,Debit Card
10200,2024-07-31,Electronics,Sony WH-1000XM5 Headphones,5,399.99,1999.95,South America,Cash
10201,2024-01-17,Clothing,Nike Air Force 1 Sneakers,4,109.99,439.96,South America,Debit Card
10202,2024-07-04,Electronics,MacBook Air M2,5,1199.99,5999.95,Asia,Credit Card
10203,2024-07-22,Clothing,Nike Air Force 1 Sneakers,1,109.99,109.99,South America,Credit Card
10204,2024-12-05,Home Appliances,Bosch Washing Machine,1,899.99,899.99,North America,Cash
10205,2024-05-04,Home Appliances,Bosch Washing Machine,2,899.99,1799.98,North America,Apple Pay
10206,2024-04-16,Home Appliances,LG Smart Refrigerator,3,1499.99,4499.97,Europe,Apple Pay
10207,2024-01-02,Clothing,Nike Air Force 1 Sneakers,2,109.99,219.98,Australia,Cash
10208,2024-03-30,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Cash
10209,2024-05-01,Clothing,Levi's 501 Jeans,2,79.99,159.98,Asia,Credit Card
10210,2024-03-05,Books,Python Crash Course,1,34.99,34.99,North America,PayPal
10211,2024-08-17,Clothing,North Face Jacket,5,249.99,1249.95,North America,PayPal
10212,2024-09-14,Home Appliances,Bosch Washing Machine,1,899.99,899.99,Australia,Cash
10213,2024-08-22,Electronics,iPhone 14 Pro,4,999.99,3999.96,South America,PayPal
10214,2024-12-17,Electronics,Sony WH-1000XM5 Headphones,4,399.99,1599.96,North America,Credit Card
10215,2024-06-13,Home Appliances,Dyson V11 Vacuum Cleaner,2,599.99,1199.98,Asia,Apple Pay
10216,2024-11-20,Clothing,Uniqlo Cotton T-Shirt,5,19.99,99.95,Australia,Cash
10217,2024-08-20,Books,Atomic Habits,1,24.99,24.99,Australia,Debit Card
10218,2024-08-08,Books,Clean Code,4,39.99,159.96,Asia,PayPal
10219,2024-07-23,Books,Atomic Habits,3,24.99,74.97,South America,Cash
10220,2024-12-06,Clothing,Adidas Hoodie,2,69.99,139.98,South America,Credit Card
10221,2024-02-16,Electronics,iPhone 14 Pro,4,999.99,3999.96,North America,Cash
10222,2024-03-07,Electronics,iPad Pro 11,5,799.99,3999.95,Australia,Cash
10223,2024-12-09,Electronics,Sony WH-1000XM5 Headphones,3,399.99,1199.97,South America,Credit Card
10224,2024-05-27,Clothing,Adidas Hoodie,1,69.99,69.99,Australia,Apple Pay
10225,2024-04-18,Home Appliances,Philips Air Fryer,2,199.99,399.98,North America,Cash
10226,2024-10-11,Clothing,Levi's 501 Jeans,3,79.99,239.97,Australia,Debit Card
10227,2024-08-07,Electronics,iPad Pro 11,3,799.99,2399.97,North America,Debit Card
10228,2024-05-19,Clothing,Adidas Hoodie,3,69.99,209.97,North America,Debit Card
10229,2024-03-14,Books,Atomic Habits,2,24.99,49.98,North America,Credit Card
10230,2024-09-28,Home Appliances,Philips Air Fryer,4,199.99,799.96,South America,Cash
10231,2024-03-21,Clothing,Adidas Hoodie,3,69.99,209.97,Australia,Apple Pay
10232,2024-02-13,Electronics,Samsung Galaxy S23,2,899.99,1799.98,Australia,Credit Card
10233,2024-12-11,Electronics,MacBook Air M2,4,1199.99,4799.96,South America,PayPal
10234,2024-11-06,Books,The Pragmatic Programmer,3,44.99,134.97,Europe,Apple Pay
10235,2024-02-28,Clothing,Uniqlo Cotton T-Shirt,1,19.99,19.99,Asia,Apple Pay
10236,2024-09-06,Clothing,Levi's 501 Jeans,2,79.99,159.98,South America,Apple Pay
10237,2024-01-29,Electronics,Samsung Galaxy S23,3,899.99,2699.97,Europe,Debit Card
10238,2024-05-10,Clothing,Adidas Hoodie,1,69.99,69.99,North America,PayPal
10239,2024-08-08,Home Appliances,LG Smart Refrigerator,4,1499.99,5999.96,Australia,Debit Card
10240,2024-09-13,Clothing,Levi's 501 Jeans,4,79.99,319.96,North America,PayPal
10241,2024-01-10,Books,Atomic Habits,3,24.99,74.97,Australia,PayPal
10242,2024-10-20,Books,The Pragmatic Programmer,3,44.99,134.97,North America,PayPal
10243,2024-01-11,Clothing,Nike Air Force 1 Sneakers,5,109.99,549.95,South America,Cash
10244,2024-02-15,Books,Atomic Habits,2,24.99,49.98,South America,Apple Pay
10245,2024-07-24,Electronics,Sony WH-1000XM5 Headphones,3,399.99,1199.97,Asia,Debit Card
10246,2024-06-19,Home Appliances,Dyson V11 Vacuum Cleaner,5,599.99,2999.95,North America,Apple Pay
10247,2024-09-18,Home Appliances,Samsung Microwave Oven,3,249.99,749.97,Europe,Debit Card
